customer_id,churn_flag,customer_segment,customer_age_months,satisfaction_score,engagement_level,support_tickets,support_interactions,returns_count,days_since_last_purchase,purchase_recency_group,customer_lifetime_value_usd,total_spend_usd,avg_order_value_usd,num_purchases,churn_reason,churn_revenue_impact_usd,customer_country
CUST-020712,1,Consumer,33,3,Low,0,1,9,35,31-60 days,29849.63,25878.37,892.36,29,Found Alternative,10351.348,Australia
CUST-044206,0,Small Business,55,2,High,6,1,3,3,0-30 days,30007.71,25992.52,1039.7,25,Not Applicable,0.0,Saudi Arabia
CUST-024093,0,Small Business,45,5,High,7,7,7,158,91-180 days,51527.18,45248.32,9049.66,5,Not Applicable,0.0,Mexico
CUST-037777,0,Enterprise,7,5,Medium,8,1,3,46,31-60 days,39139.58,31902.68,1329.28,24,Not Applicable,0.0,Saudi Arabia
CUST-016248,1,Premium,12,1,High,15,1,4,124,91-180 days,34506.94,35530.22,755.96,47,Poor Customer Service,14212.088000000002,Pakistan
CUST-003503,0,Premium,20,3,Medium,11,2,1,53,31-60 days,7814.28,6490.64,721.18,9,Not Applicable,0.0,United States
CUST-013561,1,Small Business,23,4,Low,13,6,8,268,181-270 days,45820.78,42261.73,42261.73,1,No Longer Need Service,16904.692000000006,United Kingdom
CUST-046431,1,Consumer,33,3,Low,9,2,9,8,0-30 days,14736.57,12709.63,6354.81,2,Found Alternative,5083.852,Italy
CUST-038576,0,Consumer,28,4,Medium,19,3,5,157,91-180 days,6653.37,7913.7,213.88,37,Not Applicable,0.0,Mexico
CUST-005759,0,Premium,17,5,High,3,2,3,8,0-30 days,45369.32,46405.65,9281.13,5,Not Applicable,0.0,Spain
CUST-017526,0,Premium,14,3,High,3,3,5,14,0-30 days,17325.94,15834.61,323.16,49,Not Applicable,0.0,Italy
CUST-023165,1,Consumer,8,2,Medium,9,4,7,47,31-60 days,17806.05,21709.1,504.86,43,Too Expensive,8683.64,India
CUST-023672,1,Consumer,49,4,High,18,20,9,23,0-30 days,4314.83,3886.31,90.38,43,Too Expensive,1554.524,Canada
CUST-045457,0,Consumer,25,4,Medium,11,13,2,8,0-30 days,20696.41,17985.72,719.43,25,Not Applicable,0.0,France
CUST-022303,0,Premium,54,3,Medium,14,0,9,27,0-30 days,32876.34,26929.7,792.05,34,Not Applicable,0.0,Japan
CUST-021533,1,Small Business,12,2,High,9,1,9,17,0-30 days,25104.49,20214.94,1443.92,14,Shipping Issues,8085.976,Saudi Arabia
CUST-043788,1,Premium,35,5,Medium,0,2,8,80,61-90 days,30889.92,38294.2,1595.59,24,Account Issues,15317.68,Japan
CUST-028906,1,Consumer,36,1,Low,14,10,3,5,0-30 days,24292.34,23204.35,3867.39,6,Poor Product Quality,9281.74,India
CUST-042954,1,Consumer,49,1,Low,8,1,2,173,91-180 days,10191.96,11543.6,769.57,15,Better Price Elsewhere,4617.440000000001,Spain
CUST-020879,1,Consumer,51,1,Medium,0,1,1,75,61-90 days,5395.19,5065.36,148.98,34,Payment Problems,2026.144,Brazil
CUST-046554,0,Consumer,15,1,High,18,21,4,23,0-30 days,10304.5,10549.31,310.27,34,Not Applicable,0.0,Spain
CUST-006454,0,Consumer,15,4,Medium,2,3,8,7,0-30 days,59101.24,47099.04,9419.81,5,Not Applicable,0.0,Singapore
CUST-025166,1,Consumer,37,4,Low,16,13,8,57,31-60 days,6487.13,7261.81,181.55,40,Better Price Elsewhere,2904.724,Mexico
CUST-011700,0,Enterprise,27,1,Medium,4,8,1,17,0-30 days,9984.82,10032.52,271.15,37,Not Applicable,0.0,Italy
CUST-038465,0,Consumer,42,2,High,15,9,0,324,271-365 days,3574.29,2754.6,114.77,24,Not Applicable,0.0,Singapore
CUST-006355,1,Premium,5,2,Low,12,9,6,36,31-60 days,49288.51,40123.18,2674.88,15,Technical Issues,16049.272,Spain
CUST-038760,1,Small Business,15,3,Low,7,10,1,78,61-90 days,2860.41,2552.0,134.32,19,Too Expensive,1020.8,Spain
CUST-048091,1,Consumer,11,4,Low,14,10,2,28,0-30 days,36997.58,29799.94,1146.15,26,Found Alternative,11919.976,Australia
CUST-047694,0,Premium,38,2,High,6,9,8,14,0-30 days,17984.82,13966.05,1269.64,11,Not Applicable,0.0,Japan
CUST-004664,0,Premium,38,4,Medium,15,7,4,53,31-60 days,32022.59,29308.55,29308.55,1,Not Applicable,0.0,Spain
CUST-010990,0,Small Business,9,3,Medium,4,8,8,6,0-30 days,3265.72,3783.84,157.66,24,Not Applicable,0.0,France
CUST-024366,1,Consumer,33,2,Low,4,1,8,69,61-90 days,42513.69,45876.78,2293.84,20,Better Price Elsewhere,18350.712,Italy
CUST-046736,0,Enterprise,52,4,Medium,8,4,2,227,181-270 days,28823.3,25535.13,8511.71,3,Not Applicable,0.0,Japan
CUST-044776,0,Premium,30,3,Medium,6,3,0,44,31-60 days,40045.55,43146.66,1797.78,24,Not Applicable,0.0,India
CUST-022672,1,Premium,17,1,Medium,3,1,7,44,31-60 days,34369.86,26768.54,1216.75,22,Poor Customer Service,10707.416000000001,United States
CUST-001365,0,Consumer,59,4,Medium,11,8,7,24,0-30 days,26871.6,25611.11,673.98,38,Not Applicable,0.0,France
CUST-024921,1,Small Business,44,2,Low,9,12,8,18,0-30 days,38413.17,32604.04,0.0,0,Shipping Issues,13041.616000000002,Canada
CUST-022814,0,Small Business,14,5,High,8,11,4,21,0-30 days,32823.18,37845.06,1892.25,20,Not Applicable,0.0,Singapore
CUST-040196,1,Premium,35,1,High,18,7,5,80,61-90 days,20387.38,22546.55,777.47,29,Poor Customer Service,9018.62,United Kingdom
CUST-000833,0,Small Business,9,2,Medium,9,7,4,66,61-90 days,43410.45,36781.54,943.12,39,Not Applicable,0.0,France
CUST-023751,1,Consumer,36,4,Low,12,3,7,12,0-30 days,8192.48,6412.3,194.31,33,Poor Customer Service,2564.92,Italy
CUST-002611,0,Premium,25,4,Low,8,8,1,203,181-270 days,37089.24,41514.66,1887.03,22,Not Applicable,0.0,United States
CUST-041520,1,Enterprise,12,5,Medium,2,6,5,214,181-270 days,29835.91,37129.39,4641.17,8,Too Expensive,14851.756000000001,India
CUST-043280,1,Consumer,55,1,High,11,11,7,352,271-365 days,19170.46,15055.6,327.3,46,Poor Customer Service,6022.2400000000025,Canada
CUST-001776,0,Consumer,47,4,High,15,17,0,18,0-30 days,7466.77,7941.99,441.22,18,Not Applicable,0.0,United States
CUST-049424,1,Enterprise,41,1,Medium,7,10,2,14,0-30 days,17933.22,15285.04,3057.01,5,Better Price Elsewhere,6114.016000000001,Brazil
CUST-046723,1,Premium,31,2,Medium,8,5,0,11,0-30 days,48253.07,48598.96,2699.94,18,Poor Customer Service,19439.584,Italy
CUST-010342,0,Enterprise,48,3,High,3,7,6,29,0-30 days,6462.79,6477.65,647.76,10,Not Applicable,0.0,Mexico
CUST-011492,0,Consumer,41,5,High,16,13,7,69,61-90 days,12256.06,10586.18,365.04,29,Not Applicable,0.0,Netherlands
