churn_id,customer_id,customer_segment,customer_country,customer_city,is_churned,churn_flag,churn_date,days_since_churn,churn_reason,churn_category,churn_risk_score,churn_probability,subscription_type,customer_age_months,total_spend_usd,avg_order_value_usd,num_purchases,satisfaction_score,satisfaction_level,support_tickets,returns_count,days_since_last_purchase,customer_lifetime_value_usd,engagement_level,prevention_method,support_interactions,last_support_channel,feedback_score,loyalty_score,marketing_emails_sent,marketing_emails_opened,marketing_emails_clicked,marketing_conversions,social_media_engagement,referral_count,is_high_risk_customer,predicted_churn,customer_retention_cost_usd,recovery_revenue_usd,dataset_year,churn_rate_indicator,customer_value_category,churn_risk_category,churn_revenue_impact_usd,customer_health_score,customer_health_category,retention_probability
CHURN-000001,CUST-020712,Consumer,Australia,Brisbane,Yes,1,2026-05-18 00:00:00,23,Found Alternative,Competitive,57,0.57,None,33,25878.37,892.36,29,3,Neutral,0,9,35,29849.63,Low,Loyalty Points,1,Self-Service,1,85.5,26,8,22,7,None,4,No,No,29.33,346.6,2026,Medium,High Value,Medium,10351.348,75,Good,0.1
CHURN-000002,CUST-044206,Small Business,Saudi Arabia,Khobar,No,0,Not Applicable,0,Not Applicable,Not Applicable,34,0.34,Premium,55,25992.52,1039.7,25,2,Dissatisfied,6,3,3,30007.71,High,None,1,Store Visit,8,23.3,17,10,14,2,Low,11,No,No,49.22,403.14,2026,Low,High Value,Low,0.0,100,Excellent,0.66
CHURN-000003,CUST-024093,Small Business,Mexico,Leon,No,0,Not Applicable,0,Not Applicable,Not Applicable,24,0.24,Basic,45,45248.32,9049.66,5,5,Very Satisfied,7,7,158,51527.18,High,Discount Offer,7,Phone,10,58.2,27,25,4,2,Low,13,No,No,198.06,4.2,2026,Low,High Value,Low,0.0,100,Excellent,0.76
CHURN-000004,CUST-037777,Enterprise,Saudi Arabia,Jeddah,No,0,Not Applicable,0,Not Applicable,Not Applicable,2,0.02,Enterprise,7,31902.68,1329.28,24,5,Very Satisfied,8,3,46,39139.58,Medium,None,1,Chat,6,38.8,48,38,48,6,Medium,7,No,No,190.31,222.46,2026,Low,High Value,Very Low,0.0,100,Excellent,0.98
CHURN-000005,CUST-016248,Premium,Pakistan,Multan,Yes,1,2026-05-28 00:00:00,7,Poor Customer Service,Involuntary,45,0.45,Premium,12,35530.22,755.96,47,1,Very Dissatisfied,15,4,124,34506.94,High,None,1,Email,6,34.3,39,14,17,3,High,17,No,No,26.49,489.02,2026,Medium,High Value,Medium,14212.088000000002,80,Good,0.1
CHURN-000006,CUST-003503,Premium,United States,San Jose,No,0,Not Applicable,0,Not Applicable,Not Applicable,26,0.26,Premium,20,6490.64,721.18,9,3,Neutral,11,1,53,7814.28,Medium,Customer Service Call,2,Store Visit,7,85.7,17,8,1,1,Low,3,No,No,68.05,3.96,2026,Low,Medium Value,Low,0.0,100,Excellent,0.74
CHURN-000007,CUST-013561,Small Business,United Kingdom,Leeds,Yes,1,2026-08-29 00:00:00,45,No Longer Need Service,Voluntary,83,0.83,None,23,42261.73,42261.73,1,4,Satisfied,13,8,268,45820.78,Low,None,6,Store Visit,8,24.1,27,8,21,2,None,4,Yes,Yes,14.94,269.6,2026,High,High Value,Very High,16904.692000000006,85,Excellent,0.1
CHURN-000008,CUST-046431,Consumer,Italy,Turin,Yes,1,2026-07-05 00:00:00,87,Found Alternative,Competitive,55,0.55,None,33,12709.63,6354.81,2,3,Neutral,9,9,8,14736.57,Low,None,2,Store Visit,10,68.4,34,27,18,8,Low,13,No,No,103.72,235.9,2026,Medium,High Value,Medium,5083.852,85,Excellent,0.1
CHURN-000009,CUST-038576,Consumer,Mexico,Guadalajara,No,0,Not Applicable,0,Not Applicable,Not Applicable,18,0.18,Basic,28,7913.7,213.88,37,4,Satisfied,19,5,157,6653.37,Medium,Special Promotion,3,Email,6,33.9,26,15,7,5,Low,12,No,No,152.89,287.61,2026,Low,Medium Value,Very Low,0.0,100,Excellent,0.82
CHURN-000010,CUST-005759,Premium,Spain,Bilbao,No,0,Not Applicable,0,Not Applicable,Not Applicable,10,0.1,Premium,17,46405.65,9281.13,5,5,Very Satisfied,3,3,8,45369.32,High,Free Trial,2,Email,9,1.8,1,0,1,1,Low,17,No,No,52.54,163.09,2026,Low,High Value,Very Low,0.0,100,Excellent,0.9
